,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,max_val,max_cat,count
4327,taxis,0.000,0.000,0.000,0.000,0.000,0.000,0.295,0.999,0.000,0.001,0.002,0.008,0.478,0.000,0.000,0.000,0.244,0.000,0.006,0.902,0.999,transit,129
3961,single family residences,0.999,0.000,0.000,0.000,0.000,0.378,0.000,0.000,0.027,0.016,0.174,0.000,0.545,0.007,0.001,0.014,0.492,0.000,0.740,0.000,0.999,housing,62
4853,watermain locates,0.000,0.000,0.000,0.000,0.000,0.006,0.001,0.006,0.000,0.000,0.000,0.999,0.733,0.000,0.000,0.000,0.002,0.000,0.028,0.012,0.999,infrastructure,2
2523,light rail transit,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.999,0.001,0.003,0.000,0.934,0.540,0.000,0.000,0.002,0.012,0.000,0.127,0.000,0.999,transit,232
3959,single family dwellings,0.999,0.000,0.000,0.000,0.000,0.936,0.000,0.001,0.014,0.006,0.135,0.000,0.531,0.005,0.002,0.008,0.449,0.000,0.751,0.000,0.999,housing,62
2161,houses,0.999,0.000,0.000,0.000,0.000,0.965,0.000,0.000,0.001,0.020,0.005,0.015,0.292,0.003,0.001,0.012,0.360,0.010,0.135,0.063,0.999,housing,7
2606,main sewers,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.999,0.836,0.000,0.000,0.000,0.001,0.000,0.013,0.511,0.999,infrastructure,37
971,commercial,0.001,0.196,0.029,0.098,0.016,0.017,0.145,0.219,0.154,0.269,0.144,0.141,0.230,0.006,0.090,0.018,0.472,0.071,0.257,0.999,0.999,business,2
1486,electricity,0.001,0.002,0.000,0.001,0.001,0.000,0.000,0.010,0.000,0.999,0.000,0.366,0.004,0.000,0.000,0.001,0.018,0.000,0.030,0.003,0.999,energy,80
24,BMX,0.001,0.999,0.000,0.000,0.001,0.004,0.001,0.026,0.001,0.004,0.001,0.001,0.373,0.001,0.000,0.000,0.065,0.000,0.011,0.815,0.999,bikes,1
329,apartments,0.999,0.000,0.000,0.001,0.000,0.726,0.000,0.011,0.001,0.014,0.006,0.010,0.309,0.004,0.001,0.011,0.667,0.006,0.074,0.029,0.999,housing,63
1925,go transit,0.002,0.327,0.004,0.006,0.001,0.001,0.153,0.999,0.046,0.110,0.009,0.471,0.884,0.004,0.001,0.104,0.057,0.000,0.173,0.015,0.999,transit,153
4458,traffic light poles,0.000,0.000,0.000,0.000,0.000,0.082,0.955,0.114,0.001,0.001,0.000,0.999,0.973,0.000,0.000,0.000,0.001,0.000,0.004,0.001,0.999,infrastructure,1
4571,trunk watermains,0.001,0.000,0.000,0.000,0.000,0.112,0.003,0.143,0.000,0.001,0.000,0.999,0.585,0.000,0.000,0.000,0.002,0.000,0.004,0.161,0.999,infrastructure,4
4253,subways,0.000,0.000,0.000,0.000,0.000,0.003,0.073,0.999,0.012,0.001,0.000,0.964,0.464,0.000,0.000,0.001,0.122,0.000,0.026,0.003,0.999,transit,118
652,building,0.943,0.010,0.000,0.014,0.000,0.999,0.001,0.001,0.004,0.114,0.039,0.957,0.216,0.001,0.000,0.091,0.164,0.009,0.274,0.854,0.999,construction,1819
3960,single family homes,0.999,0.000,0.000,0.000,0.000,0.786,0.000,0.000,0.013,0.021,0.036,0.000,0.549,0.006,0.001,0.005,0.321,0.000,0.739,0.000,0.999,housing,62
1069,condominium housing,0.999,0.000,0.000,0.001,0.000,0.636,0.000,0.000,0.007,0.001,0.026,0.000,0.365,0.000,0.000,0.001,0.628,0.000,0.272,0.000,0.999,housing,280
